"shipID","time","longitude","latitude"
"V339",2019-07-23 06:09:07,3.871572,42.75993
"V339",2019-07-23 07:27:38,3.84307,42.80409
"V339",2019-07-23 04:48:27,3.796172,42.81553
"V339",2019-07-23 05:43:18,3.85177,42.78147
"V339",2019-07-23 07:38:38,3.829518,42.81144
"V339",2019-07-23 06:29:37,3.87903,42.75556
"V339",2019-07-23 06:13:27,3.874618,42.75675
"V339",2019-07-23 07:43:48,3.821648,42.8131
"V339",2019-07-23 05:48:57,3.855397,42.7761
"V339",2019-07-23 05:23:37,3.840978,42.80108
"V339",2019-07-23 05:57:57,3.862918,42.76856
"V339",2019-07-23 05:29:37,3.844408,42.79516
"V339",2019-07-23 05:06:38,3.82238,42.81254
"V339",2019-07-23 06:53:18,3.871028,42.76834
"V339",2019-07-23 06:38:17,3.87855,42.75805
"V339",2019-07-23 06:43:58,3.88086,42.75975
"V339",2019-07-23 06:33:37,3.879425,42.7573
"V339",2019-07-23 06:47:58,3.876182,42.76324
"V339",2019-07-23 05:38:57,3.84917,42.78568
"V339",2019-07-23 07:18:58,3.850685,42.79609
"V339",2019-07-23 06:01:57,3.866128,42.76538
"V339",2019-07-23 07:28:58,3.841642,42.80518
"V339",2019-07-23 06:58:38,3.865452,42.77459
"V339",2019-07-23 07:33:58,3.835975,42.80907
"V339",2019-07-23 06:26:57,3.878168,42.75513
"V339",2019-07-23 04:53:47,3.804147,42.81492
"V339",2019-07-23 05:33:27,3.846048,42.79115
"V339",2019-07-23 04:43:18,3.788277,42.81613
"V339",2019-07-23 04:58:38,3.81137,42.81442
"V339",2019-07-23 07:05:57,3.859438,42.78274
"V339",2019-07-23 07:47:38,3.815755,42.81338
"V339",2019-07-23 05:01:27,3.815422,42.81406
"V339",2019-07-23 07:12:07,3.855127,42.78909
"V339",2019-07-23 05:28:28,3.843823,42.79634
"V339",2019-07-23 07:23:47,3.84686,42.80066
"V339",2019-07-23 05:53:17,3.859072,42.77242
