"shipID","time","longitude","latitude"
"V608",2016-09-06 01:24:02,3.801142,40.03568
"V608",2016-09-06 01:57:33,3.796578,39.99444
"V608",2016-09-06 00:57:05,3.843435,40.06415
"V608",2016-09-06 01:47:32,3.787815,39.99977
"V608",2016-09-06 01:54:04,3.788378,39.9975
"V608",2016-09-06 01:03:05,3.832207,40.06056
"V608",2016-09-06 01:59:02,3.800458,39.99373
"V608",2016-09-06 02:08:31,3.824013,39.99525
"V608",2016-09-06 01:18:01,3.812728,40.04383
"V608",2016-09-06 01:42:33,3.788212,40.00209
"V608",2016-09-06 01:34:02,3.785435,40.01922
"V608",2016-09-06 01:28:33,3.792298,40.0293
"V608",2016-09-06 01:08:33,3.823597,40.05751
"V608",2016-09-06 00:58:35,3.840637,40.06331
"V608",2016-09-06 01:39:01,3.785948,40.00889
"V608",2016-09-06 02:13:31,3.828317,39.99882
"V608",2016-09-06 01:13:01,3.817408,40.05286
"V608",2016-09-06 02:03:31,3.812525,39.99336
