"shipID","time","longitude","latitude"
"V1500",2020-07-02 05:33:16,2.837775,41.68069
"V1500",2020-07-02 03:43:37,2.996752,41.7527
"V1500",2020-07-02 04:33:27,2.990998,41.75267
"V1500",2020-07-02 05:14:07,2.896072,41.69511
"V1500",2020-07-02 03:48:17,2.998332,41.75525
"V1500",2020-07-02 04:43:57,2.970202,41.73497
"V1500",2020-07-02 05:18:56,2.8817,41.6915
"V1500",2020-07-02 05:09:07,2.910117,41.69966
"V1500",2020-07-02 05:23:48,2.867002,41.68787
"V1500",2020-07-02 05:43:17,2.808,41.67191
"V1500",2020-07-02 04:47:27,2.963193,41.72875
"V1500",2020-07-02 05:48:16,2.796028,41.6727
"V1500",2020-07-02 04:53:36,2.949695,41.71844
"V1500",2020-07-02 05:38:07,2.823197,41.67641
"V1500",2020-07-02 05:04:18,2.923507,41.70407
"V1500",2020-07-02 05:27:58,2.854102,41.68489
"V1500",2020-07-02 05:51:38,2.799768,41.67408
